2025-02-28 11:16:38 - INFO - Log file cleared: logs/audio_dataset.log
2025-02-28 11:16:38 - INFO - Application started - logs cleared
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_ai_optimized
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_ai_optimized
2025-02-28 11:16:39 - INFO - Found 1 audio files in audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_split
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_split/backup
2025-02-28 11:16:39 - INFO - Found 1 audio files in audio
2025-02-28 11:16:50 - INFO - Starting audio optimization process for file: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - INFO - Parameters - Chunk lengths: [10, 20, 30], Overlap lengths: [0, 3, 5], Max duration: 300
2025-02-28 11:16:50 - DEBUG - Directory already exists: audio
2025-02-28 11:16:50 - DEBUG - Directory already exists: audio_ai_optimized
2025-02-28 11:16:50 - DEBUG - Validating audio file path: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - DEBUG - File exists at specified path: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - INFO - Using audio file: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - INFO - Audio loaded successfully - Duration: 708.98s, Channels: 2, Sample rate: 44100Hz, Bit depth: 16 bits
2025-02-28 11:16:50 - INFO - Trimming audio to first 300 seconds
2025-02-28 11:16:50 - INFO - Audio standardized to mono 16kHz 16-bit PCM
2025-02-28 11:16:50 - INFO - Processing 9 valid combinations (skipped 0 invalid combinations)
2025-02-28 11:16:50 - INFO - === COMBINATION 1/9 ===
2025-02-28 11:16:50 - INFO - Chunk length: 10s, Overlap length: 0s
2025-02-28 11:16:50 - INFO - Audio length: 300.00s, Calculated 31 chunks
2025-02-28 11:16:50 - DEBUG - Chunk 1/31: Base: 0.00s-10.00s, With padding: 0.00s-10.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 2/31: Base: 10.00s-20.00s, With padding: 10.00s-20.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 3/31: Base: 20.00s-30.00s, With padding: 20.00s-30.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 4/31: Base: 30.00s-40.00s, With padding: 30.00s-40.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 5/31: Base: 40.00s-50.00s, With padding: 40.00s-50.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 6/31: Base: 50.00s-60.00s, With padding: 50.00s-60.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 7/31: Base: 60.00s-70.00s, With padding: 60.00s-70.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 8/31: Base: 70.00s-80.00s, With padding: 70.00s-80.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 9/31: Base: 80.00s-90.00s, With padding: 80.00s-90.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 10/31: Base: 90.00s-100.00s, With padding: 90.00s-100.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 11/31: Base: 100.00s-110.00s, With padding: 100.00s-110.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 12/31: Base: 110.00s-120.00s, With padding: 110.00s-120.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 13/31: Base: 120.00s-130.00s, With padding: 120.00s-130.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 14/31: Base: 130.00s-140.00s, With padding: 130.00s-140.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 15/31: Base: 140.00s-150.00s, With padding: 140.00s-150.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 16/31: Base: 150.00s-160.00s, With padding: 150.00s-160.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 17/31: Base: 160.00s-170.00s, With padding: 160.00s-170.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 18/31: Base: 170.00s-180.00s, With padding: 170.00s-180.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 19/31: Base: 180.00s-190.00s, With padding: 180.00s-190.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 20/31: Base: 190.00s-200.00s, With padding: 190.00s-200.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 21/31: Base: 200.00s-210.00s, With padding: 200.00s-210.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 22/31: Base: 210.00s-220.00s, With padding: 210.00s-220.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 23/31: Base: 220.00s-230.00s, With padding: 220.00s-230.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 24/31: Base: 230.00s-240.00s, With padding: 230.00s-240.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 25/31: Base: 240.00s-250.00s, With padding: 240.00s-250.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 26/31: Base: 250.00s-260.00s, With padding: 250.00s-260.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 27/31: Base: 260.00s-270.00s, With padding: 260.00s-270.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 28/31: Base: 270.00s-280.00s, With padding: 270.00s-280.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 29/31: Base: 280.00s-290.00s, With padding: 280.00s-290.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 30/31: Base: 290.00s-300.00s, With padding: 290.00s-300.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 31/31: Base: 300.00s-300.00s, With padding: 300.00s-300.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - INFO - Successfully created 31 chunk files for combination: chunk10s_overlap0s
2025-02-28 11:16:50 - INFO - === COMBINATION 2/9 ===
2025-02-28 11:16:50 - INFO - Chunk length: 10s, Overlap length: 3s
2025-02-28 11:16:50 - INFO - Audio length: 300.00s, Calculated 43 chunks
2025-02-28 11:16:50 - DEBUG - Chunk 1/43: Base: 0.00s-10.00s, With padding: 0.00s-13.00s (Padding before: 0.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 2/43: Base: 7.00s-17.00s, With padding: 4.00s-20.00s (Padding before: 3.00s, after: 3.00s)
